date,cpaltt01usm659n,unemp,t,covid
2000-12-01,3.3868093,3.7,492,0
2001-01-01,3.7322276,4.6999998,493,0
2001-02-01,3.5335689,4.5999999,494,0
2001-03-01,2.9205608,4.5,495,0
2001-04-01,3.2691185,4.1999998,496,0
2001-05-01,3.6151605,4.0999999,497,0
2001-06-01,3.2482598,4.6999998,498,0
2001-07-01,2.7199075,4.6999998,499,0
2001-08-01,2.7199075,4.9000001,500,0
2001-09-01,2.6482441,4.6999998,501,0
2001-10-01,2.1264367,5,502,0
2001-11-01,1.8954624,5.3000002,503,0
2001-12-01,1.5517242,5.4000001,504,0
2002-01-01,1.1422044,6.3000002,505,0
2002-02-01,1.1376565,6.0999999,506,0
2002-03-01,1.475596,6.0999999,507,0
2002-04-01,1.6393442,5.6999998,508,0
2002-05-01,1.181767,5.5,509,0
2002-06-01,1.0674157,6,510,0
2002-07-01,1.4647887,5.9000001,511,0
2002-08-01,1.8028169,5.6999998,512,0
2002-09-01,1.5143018,5.4000001,513,0
2002-10-01,2.0258863,5.3000002,514,0
2002-11-01,2.1984217,5.5999999,515,0
2002-12-01,2.37691,5.6999998,516,0
2003-01-01,2.5974026,6.5,517,0
2003-02-01,2.9808774,6.4000001,518,0
2003-03-01,3.0201342,6.1999998,519,0
2003-04-01,2.224694,5.8000002,520,0
2003-05-01,2.057842,5.8000002,521,0
2003-06-01,2.1122847,6.5,522,0
2003-07-01,2.1099389,6.3000002,523,0
2003-08-01,2.1582735,6,524,0
2003-09-01,2.320442,5.8000002,525,0
2003-10-01,2.0408163,5.5999999,526,0
2003-11-01,1.7650304,5.5999999,527,0
2003-12-01,1.8794914,5.4000001,528,0
2004-01-01,1.926252,6.3000002,529,0
2004-02-01,1.6930639,6,530,0
2004-03-01,1.7372421,6,531,0
2004-04-01,2.2850926,5.4000001,532,0
2004-05-01,3.0517712,5.3000002,533,0
2004-06-01,3.2661948,5.8000002,534,0
2004-07-01,2.9907558,5.6999998,535,0
2004-08-01,2.654388,5.4000001,536,0
